counter,time,open,high,low,close,tick_volume,spread,real_volume
486,1740371400,2931.27,2937.44,2931.27,2936.95,1769,17,0
487,1740372300,2936.95,2940.99,2936.78,2940.81,1720,17,0
488,1740373200,2940.81,2943.41,2940.12,2942.36,2156,17,0
489,1740374100,2942.33,2944.44,2940.5,2941.65,2036,17,0
490,1740375000,2941.62,2944.78,2939.86,2941.25,1851,17,0
491,1740375900,2941.39,2941.9,2939.9,2940.97,1215,17,0
492,1740376800,2940.96,2941.77,2937.77,2940.52,1624,17,0
493,1740377700,2940.51,2943.02,2940.47,2941.92,1237,17,0
494,1740378600,2941.92,2943.08,2938.93,2939.41,1224,17,0
495,1740379500,2939.55,2941.87,2938.54,2940.72,1297,17,0
496,1740380400,2940.99,2941.73,2939.55,2940.91,1350,17,0
497,1740381300,2941.06,2942.06,2940.23,2940.43,1494,17,0
498,1740382200,2940.43,2940.9,2937.6,2939.07,1338,17,0
499,1740383100,2939.05,2940,2935.59,2936.41,1252,17,0
500,1740384000,2936.41,2939.91,2935.32,2938.12,1419,17,0
501,1740384900,2938.15,2942.1,2937.41,2940.04,1391,17,0
502,1740385800,2940.07,2940.7,2937.35,2937.58,1120,15,0
503,1740386700,2937.39,2939.03,2936.8,2938.55,1089,15,0
504,1740387600,2938.57,2941.38,2938.24,2940.81,1054,15,0
505,1740388500,2940.81,2941.02,2939.17,2939.74,1055,15,0
506,1740389400,2939.59,2944.36,2939.53,2943.78,1569,13,0
507,1740390300,2943.78,2945.04,2941.93,2943.93,1496,13,0
508,1740391200,2944.02,2944.87,2942.23,2942.98,1625,13,0
509,1740392100,2942.89,2943.57,2940.43,2942.37,1816,13,0
510,1740393000,2942.2,2942.7,2938.13,2940.43,1681,13,0
511,1740393900,2940.51,2948.83,2940.44,2946.34,1932,13,0
512,1740394800,2946.32,2948.3,2944.75,2945.15,1849,13,0
513,1740395700,2945.31,2946.85,2943.41,2946.42,1760,13,0
514,1740396600,2946.27,2946.79,2944.38,2945,1452,13,0
515,1740397500,2945,2945.32,2942.86,2944.32,1205,13,0
